Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
20,0.16986418,0.20144873,0.00005813,0.4436,0.4628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5905,0.0000,0.0000,0.0000,0.0000,0.0000,45.3199,224,0.65,0.7238,15.0,0,30,1,0.000000
21,0.16442425,0.20618835,0.00005762,0.4564,0.4569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5848,0.0000,0.0000,0.0000,0.0000,0.0000,45.6605,224,0.65,0.7093,15.0,0,30,1,0.000000
22,0.16801584,0.21459708,0.00005705,0.4442,0.4442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5839,0.0000,0.0000,0.0000,0.0000,0.0000,44.4240,224,0.75,0.6951,15.0,0,30,1,0.000000
23,0.16941772,0.20643396,0.00005632,0.4530,0.4627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5856,0.0000,0.0000,0.0000,0.0000,0.0000,45.7815,224,0.85,0.6812,15.0,0,30,1,0.000000
24,0.16680811,0.20978121,0.00005540,0.4526,0.4590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5874,0.0000,0.0000,0.0000,0.0000,0.0000,45.5794,224,0.85,0.6676,15.0,0,30,1,0.000000
25,0.16260787,0.20406531,0.00005939,0.4598,0.4560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5883,0.0000,0.0000,0.0000,0.0000,0.0000,45.7919,224,0.85,0.6543,15.0,0,30,1,0.000000
26,0.15812518,0.20794175,0.00005932,0.4578,0.4548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5799,0.0000,0.0000,0.0000,0.0000,0.0000,45.6301,224,0.85,0.6412,15.0,0,30,1,0.000000
27,0.15334376,0.21448579,0.00005925,0.4557,0.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5814,0.0000,0.0000,0.0000,0.0000,0.0000,45.6782,224,0.85,0.6283,15.0,0,30,1,0.000000
28,0.15864777,0.21371856,0.00005918,0.4579,0.4486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5825,0.0000,0.0000,0.0000,0.0000,0.0000,45.3243,224,0.95,0.6158,15.0,0,30,1,0.000000
29,0.15372583,0.20632534,0.00005910,0.4646,0.4619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5815,0.0000,0.0000,0.0000,0.0000,0.0000,46.3225,224,0.95,0.6158,15.0,0,30,1,0.000000
30,0.14916579,0.21391920,0.00005903,0.4491,0.4471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5870,0.0000,0.0000,0.0000,0.0000,0.0000,44.8104,224,0.95,0.6035,15.0,0,30,1,0.000000
